sequence, count
no offense, 7
's how, 7
could get, 7
'm very, 7
prove to, 7
on out, 7
okie dokie, 7
somepony who, 7
hold it, 7
came from, 7
a different, 7
down here, 7
we would, 7
'll excuse, 7
my head, 7
over the, 7
me about, 7
go back, 7
them to, 7
in tarnation, 7
down and, 7
's pinkie, 7
'm glad, 7
than a, 7
the disaster, 7
the good, 7
a hop, 7
though i, 7
we came, 7
ask you, 7
's our, 7
be just, 7
close to, 7
're on, 7
try and, 7
it took, 7
be your, 7
and applejack, 7
end of, 7
making sure, 7
should go, 7
say we, 7
to listen, 7
a terrible, 7
like your, 7
good thing, 7
cheer you, 7
i learned, 7
the tail, 7
big macintosh, 7
never gon, 7
from me, 7
be careful, 7
apples are, 7
really sorry, 7
just as, 7
but then, 7
in our, 7
my eyes, 7
i sure, 7
this thing, 7
your wings, 7
tuesday morning, 7
knew it, 7
me like, 7
now go, 7
a lovely, 7
you too, 7
mean it, 7
hey guys, 7
'll tell, 7
is really, 7
i might, 7
unicorn in, 7
use the, 7
get along, 7
exactly what, 7
well done, 7
the spirit, 7
get all, 7
she can, 7
fast as, 7
accept my, 7
what an, 7
you from, 7
away with, 7
pinkie 's, 7
want it, 7
the street, 7
as soon, 7
hundred and, 7
so good, 7
zecora 's, 7
it did, 7
so that, 7
but he, 7
that if, 7
and gentlecolts, 7
me help, 7
n't gon, 7
that this, 7
wish i, 7
matter what, 7
family appreciation, 6
new baby, 6
mad at, 6
other 's, 6
in charge, 6
need help, 6
really do, 6
'd say, 6
could it, 6
put the, 6
they will, 6
so bad, 6
as if, 6
back where, 6
help with, 6
can tell, 6
and look, 6
pumpkin cake, 6
i win, 6
course you, 6
'll need, 6
n't listen, 6
so awesome, 6
is sure, 6
and only, 6
every last, 6
n't they, 6
far too, 6
please stop, 6
you better, 6
a cure, 6
a mite, 6
in for, 6
's good, 6
a doozy, 6
your faithful, 6
her what, 6
we think, 6
you find, 6
that my, 6
baby bunnies, 6
will get, 6
the game, 6
cakes ', 6
me so, 6
's never, 6
set up, 6
you little, 6
need your, 6
and and, 6
sure is, 6
get going, 6
'll save, 6
fillies and, 6
extra ticket, 6
need some, 6
big brother, 6
course i, 6
a deal, 6
all our, 6
is right, 6
find them, 6
've had, 6
a horrible, 6
a joke, 6
i hear, 6
really like, 6
it right, 6
all things, 6
you applejack, 6
go away, 6
my first, 6
my pet, 6
's already, 6
just be, 6
she had, 6
just had, 6
no not, 6
little more, 6
or what, 6
been trying, 6
is fine, 6
very important, 6
of canterlot, 6
i understand, 6
back from, 6
check on, 6
my wings, 6
friends ", 6
so hard, 6
a week, 6
birthday spike, 6
very much, 6
still have, 6
on rainbow, 6
and there, 6
you went, 6
be alone, 6
what that, 6
needs a, 6
to speak, 6
all on, 6
really is, 6
out a, 6
be as, 6
how i, 6
not really, 6
n't feel, 6
it back, 6
a total, 6
you tell, 6
forget the, 6
she wo, 6
the doozy, 6
it ca, 6
