File Name, Num Words, Num Tokens, Num Sentences, Num Speakers, Ave Sentence Len, Ave Word Len, $, '', :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, LS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1990.txt, 31422, 4342, 3508, 0, 47.13, 4.11, 0, 11, 141, 1129, 191, 2874, 102, 3, 2813, 1896, 74, 56, 0, 572, 5660, 4, 0, 1161, 15, 207, 2848, 889, 2299, 52, 14, 280, 0, 705, 11, 1560, 2953, 624, 581, 733, 432, 78, 221, 4, 229, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1992.txt, 1057, 421, 130, 0, 42.2, 4.09, 0, 0, 5, 39, 31, 74, 0, 1, 95, 60, 5, 2, 0, 31, 229, 0, 0, 66, 0, 11, 88, 21, 64, 4, 0, 3, 0, 19, 0, 70, 13, 6, 12, 54, 33, 3, 5, 0, 13, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1993.txt, 331487, 16319, 32320, 0, 53.43, 4.09, 0, 193, 883, 11603, 1899, 30898, 797, 26, 34616, 20059, 878, 474, 0, 5594, 63655, 26, 0, 14072, 451, 2095, 25302, 9309, 21655, 403, 83, 3327, 2, 8136, 167, 16150, 26454, 7105, 6876, 7568, 5715, 820, 1790, 26, 2380, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1994.txt, 125161, 9643, 12971, 0, 50.42, 4.11, 1, 167, 211, 3903, 617, 11289, 268, 14, 12786, 7375, 319, 174, 0, 2291, 23218, 12, 1, 6123, 138, 928, 10647, 3624, 7146, 124, 38, 883, 0, 3167, 34, 6373, 10773, 2481, 2742, 3272, 1902, 302, 809, 11, 998, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1995.txt, 192014, 11921, 17470, 0, 58.42, 4.19, 0, 233, 462, 6955, 898, 17085, 352, 21, 19969, 12311, 578, 317, 0, 3433, 34099, 75, 1, 9209, 231, 1389, 15810, 6590, 12299, 282, 69, 1476, 1, 4758, 74, 9295, 16196, 3886, 4264, 4125, 2469, 471, 1084, 20, 1227, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1996.txt, 12393, 2264, 1187, 0, 54.8, 4.13, 0, 2, 25, 438, 97, 1240, 29, 1, 1186, 779, 21, 37, 0, 185, 2454, 0, 0, 488, 20, 99, 916, 360, 791, 11, 2, 119, 0, 265, 11, 543, 1125, 283, 230, 270, 193, 30, 56, 0, 87, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1997.txt, 80699, 7480, 8229, 0, 51.71, 4.13, 0, 30, 45, 2816, 580, 7545, 170, 9, 7505, 5206, 192, 174, 0, 1289, 16554, 7, 0, 3537, 93, 535, 5758, 2415, 5142, 87, 20, 744, 0, 1867, 54, 3742, 7514, 1602, 1499, 1658, 1141, 163, 391, 4, 611, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1998.txt, 138642, 10255, 15530, 0, 47.0, 4.13, 1, 51, 126, 3969, 1822, 12572, 309, 21, 12429, 8798, 287, 236, 0, 2290, 31736, 12, 3, 6415, 150, 955, 9712, 3628, 7700, 119, 33, 1225, 16, 3242, 50, 6899, 8862, 2598, 2369, 4313, 3653, 274, 840, 8, 919, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1999.txt, 156908, 11042, 16627, 0, 49.51, 4.12, 4, 25, 176, 4736, 2343, 13946, 330, 28, 14088, 10168, 372, 253, 0, 2670, 34097, 17, 2, 7256, 152, 993, 11441, 4139, 8991, 180, 51, 1340, 26, 3926, 64, 8265, 10134, 2908, 2782, 4821, 3803, 351, 914, 9, 1107, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2000.txt, 176872, 11857, 18328, 0, 50.52, 4.11, 6, 288, 178, 5317, 2829, 15755, 338, 11, 16466, 11496, 379, 289, 0, 2784, 38881, 24, 0, 8193, 182, 1253, 12283, 4605, 9884, 166, 53, 1412, 18, 4376, 61, 8735, 11754, 3276, 3082, 5298, 4460, 383, 1075, 5, 1277, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2001.txt, 156100, 12321, 15821, 0, 52.11, 4.16, 5, 125, 154, 4566, 2323, 13882, 326, 26, 14773, 10100, 337, 264, 1, 2457, 34454, 21, 0, 6854, 150, 1130, 10891, 4140, 9169, 152, 38, 1226, 2, 3847, 73, 7659, 10433, 3052, 2876, 4365, 3710, 409, 1005, 9, 1096, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2002.txt, 153555, 11505, 14827, 0, 54.56, 4.14, 3, 22, 143, 4828, 2120, 13992, 349, 16, 14909, 9946, 355, 216, 0, 2574, 32695, 29, 0, 6863, 152, 961, 10733, 4034, 8947, 170, 51, 1235, 4, 3800, 53, 7620, 10930, 3274, 2788, 4087, 3234, 350, 926, 7, 1139, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2003.txt, 201315, 15759, 18525, 0, 58.39, 4.25, 9, 97, 307, 5863, 2767, 18507, 379, 21, 19862, 13869, 518, 309, 0, 3172, 42834, 40, 0, 8838, 178, 1577, 13920, 6210, 11522, 284, 59, 1627, 9, 5007, 55, 9046, 14874, 4214, 4417, 4303, 3662, 552, 1092, 26, 1289, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2004.txt, 245605, 18099, 21951, 0, 59.73, 4.22, 8, 123, 516, 7636, 2636, 22539, 429, 48, 24907, 16656, 622, 440, 0, 4160, 51046, 24, 1, 10511, 216, 1870, 17126, 8322, 14673, 324, 79, 1923, 12, 6094, 58, 11242, 17682, 5223, 5419, 5182, 4275, 751, 1344, 16, 1472, 0
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2005.txt, 186176, 15105, 17887, 0, 55.72, 4.23, 4, 149, 172, 5372, 2732, 16874, 323, 30, 18493, 12557, 444, 322, 3, 2848, 39900, 43, 1, 8769, 130, 1536, 12716, 5445, 10660, 205, 71, 1464, 7, 4614, 62, 8573, 12296, 3944, 3677, 4872, 3963, 544, 1129, 13, 1219, 0
